LEMMA,freq,keyness,comment,final_type,,,,,,,
насмешка,1,1,абьюз,давление,,,,,,,
шутка,1,1,абьюз,давление,,,,,,,
раздеваться,1,1,абьюз,давление,,,,,,,
вопрос,3,1,абьюз ,давление,,,,,,,
допуск,1,1,адвокат,недопуск адвоката,,,,,,,
задержание,23,1,большинство при задержании - обычно избиения,избиение,,,,,,,избиение
защитник,5,1,бывают очепятки (защитникав),недопуск адвоката,,,,,,,автозак время
стоять,3,1,"в автозаке стояли, условия",условия задержания,,,,,,,телефон
рюкзак,1,1,вещи,досмотр без понятых,,,,,,,
деньги,1,1,вещи (спиздили),досмотр без понятых,,,,,,,еда
передача,2,1,вода еда,еда,,,,,,,
держать,10,1,время,время задержания,,,,,,,
ночь,3,1,время,время задержания,,,,,,,
превышение,2,1,время,время задержания,,,,,,,
фотографироваться,1,1,дактилоскопия,пальчики,,,,,,,задержания журналистов
фотографировать,1,1,дактилоскопия,пальчики,,,,,,,
час,24,1,длительность задержания,время задержания,,,,,,,
досматривать,1,1,досмотр,досмотр без понятых,,,,,,,
понятой,1,1,досмотр,досмотр без понятых,,,,,,,
кормить,1,1,еда,еда,,,,,,,
журналист,7,1,задержание,задержания журналистов,,,,,,,
проблема,2,1,здоровье,медицина,,,,,,,
аллергия,2,1,здоровье,медицина,,,,,,,
помощь,2,1,здоровье,медицина,,,,,,,
больница,4,1,избиение,избиение,,,,,,,
плечо,1,1,избиение,избиение,,,,,,,
ткнуть,1,1,избиение,избиение,,,,,,,
отбивать,1,1,избиение,избиение,,,,,,,
побивать,1,1,избиение,избиение,,,,,,,
лицо,1,1,избиение,избиение,,,,,,,
повреждение,1,1,избиение,избиение,,,,,,,
травмпункт,1,1,избиение,избиение,,,,,,,
синяк,1,1,избиение,избиение,,,,,,,
висок,1,1,избиение,избиение,,,,,,,
боль,1,1,избиение,избиение,,,,,,,
сотрясение,1,1,избиение,избиение,,,,,,,
тело,1,1,избиение,избиение,,,,,,,
травма,1,1,избиение,избиение,,,,,,,
след,1,1,избиение,избиение,,,,,,,
шишка,1,1,избиение,избиение,,,,,,,
заламывать,1,1,избиение,избиение,,,,,,,
вывих,1,1,избиение,избиение,,,,,,,
травмировать,1,1,изибиение,избиение,,,,,,,
требовать,3,1,ключ во взятку,давление,,,,,,,
здоровье,1,1,медицина,медицина,,,,,,,
сердце,1,1,медицина,медицина,,,,,,,
спать,3,1,мешали спать,условия задержания,,,,,,,
заставлять,3,1,абьюз,давление,,,,,,,
адвокат,6,1,не пускали,недопуск адвоката,,,,,,,
юрист,5,1,"не пускают защитника, адвоката,",недопуск адвоката,,,,,,,
хватить,3,1,не хватило места,условия задержания,,,,,,,
место,3,1,не хватило места,условия задержания,,,,,,,
отец,2,1,несовершеннолетний,несовершеннолетний,,,,,,,
мама,1,1,несовершеннолетний,несовершеннолетний,,,,,,,
сын,1,1,несовершеннолетний,несовершеннолетний,,,,,,,
парень,2,1,одного парня приложили,избиение,,,,,,,
вещь,8,1,отъем вещей,досмотр без понятых,,,,,,,
время,8,1,"превышение времени, но часто слова в одном семантическом поле вместе",время задержания,,,,,,,
прикладывать,3,1,приложили об асфальт,избиение,,,,,,,
сила,3,1,"применение силы, избиение. Оно энивэй необоснованное",избиение,,,,,,,
переписывать,2,1,протокол,протокол,,,,,,,
применять,1,1,"сила, избиение",избиение,,,,,,,
вызывать,9,1,"скорая, чаще всего речь о заминке со скорой",медицина,,,,,,,
удалять,1,1,телефон,телефон,,,,,,,
фото,1,1,телефон,телефон,,,,,,,
съемка,1,1,телефон,телефон,,,,,,,
оставлять,10,1,условия,условия задержания,,,,,,,
вентиляция,1,1,условия,условия задержания,,,,,,,
улица,2,1,условия - на улице оставили,условия задержания,,,,,,,
машина,2,1,условия (жаркая машина),условия задержания,,,,,,,
протокол,26,1,,протокол,,,,,,,
вода,12,1,,еда,,,,,,,
телефон,9,1,,телефон,,,,,,,
еда,9,1,,еда,,,,,,,
избивать,9,1,,избиение,,,,,,,
ударять,7,1,,избиение,,,,,,,
бить,7,1,,избиение,,,,,,,
рука,6,1,,избиение,,,,,,,
паспорт,6,1,,паспорт,,,,,,,
дактилоскопия,5,1,,пальчики,,,,,,,
передавать,5,1,,еда,,,,,,,
угрожать,5,1,,давление,,,,,,,
голова,5,1,,избиение,,,,,,,
продержать,4,1,,автозак время,,,,,,,
отпечаток,4,1,,пальчики,,,,,,,
нога,4,1,,избиение,,,,,,,
копия,4,1,,протокол,,,,,,,
глаз,3,1,,избиение,,,,,,,
почка,3,1,,избиение,,,,,,,
сдавать,2,1,,пальчики,,,,,,,
палец,2,1,,пальчики,,,,,,,
снимать,2,1,,пальчики,,,,,,,
живот,2,1,,избиение,,,,,,,
лекарство,2,1,,медицина,,,,,,,
дубинка,2,1,,избиение,,,,,,,
асфальт,2,1,,избиение,,,,,,,
ссадина,2,1,,избиение,,,,,,,
локоть,2,1,,избиение,,,,,,,
пугать,2,1,,давление,,,,,,,
жара,1,1,,условия задержания,,,,,,,
градус,1,1,,условия задержания,,,,,,,
питание,1,1,,еда,,,,,,,
врач,1,1,,медицина,,,,,,,
